"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 29, 2016","36.17","36.13","36.41","36.05","4.76M","-0.17%"
"Aug 26, 2016","36.23","36.68","36.84","36.02","6.26M","-1.33%"
"Aug 25, 2016","36.72","36.34","36.94","36.32","5.45M","0.19%"
"Aug 24, 2016","36.65","36.27","36.99","36.19","5.95M","0.69%"
"Aug 23, 2016","36.40","36.32","36.65","36.18","5.40M","1.11%"
"Aug 22, 2016","36.00","36.33","36.48","35.86","5.19M","-1.34%"
"Aug 19, 2016","36.49","36.44","36.74","36.10","6.68M","-0.49%"
"Aug 18, 2016","36.67","36.43","36.70","36.05","5.29M","0.19%"
"Aug 17, 2016","36.60","36.68","36.75","36.19","8.00M","-0.41%"
"Aug 16, 2016","36.75","35.67","36.79","35.63","9.38M","2.45%"
"Aug 15, 2016","35.87","34.96","36.05","34.90","7.14M","2.72%"
"Aug 12, 2016","34.92","34.74","35.17","34.66","6.06M","-0.11%"
"Aug 11, 2016","34.96","34.25","35.08","34.24","7.67M","2.28%"
"Aug 10, 2016","34.18","34.59","34.75","33.74","5.88M","-1.19%"
"Aug 09, 2016","34.59","35.21","35.50","34.54","7.31M","0.70%"
"Aug 08, 2016","34.35","34.22","34.88","34.12","7.14M","-0.26%"
"Aug 05, 2016","34.44","33.71","34.72","33.68","16.44M","2.56%"
"Aug 04, 2016","33.58","33.57","33.77","33.00","6.38M","0.30%"
"Aug 03, 2016","33.48","33.47","33.96","33.17","8.25M","-0.09%"
"Aug 02, 2016","33.51","35.39","35.40","33.38","12.10M","-5.87%"
"Aug 01, 2016","35.60","35.54","35.75","35.10","7.06M","0.28%"
"Jul 29, 2016","35.50","36.26","36.74","35.50","9.14M","-2.31%"
"Jul 28, 2016","36.34","36.07","36.53","35.75","6.52M","0.39%"
"Jul 27, 2016","36.20","36.50","36.60","35.90","6.67M","-0.96%"
"Jul 26, 2016","36.55","35.91","36.68","35.65","8.87M","2.09%"
"Jul 25, 2016","35.80","36.35","36.40","35.52","9.53M","-1.54%"
"Jul 22, 2016","36.36","36.45","36.56","35.60","14.70M","4.00%"
"Jul 21, 2016","34.96","35.10","35.56","34.44","16.43M","-2.67%"
"Jul 20, 2016","35.92","36.07","36.73","35.39","13.10M","-0.25%"
"Jul 19, 2016","36.01","35.78","36.08","35.33","7.96M","-0.06%"
"Jul 18, 2016","36.03","36.03","36.34","35.76","8.61M","0.39%"
"Jul 15, 2016","35.89","35.51","36.06","35.32","9.82M","0.03%"
"Jul 14, 2016","35.88","35.11","36.19","35.00","16.88M","4.15%"
"Jul 13, 2016","34.45","35.00","35.29","34.12","15.22M","-0.61%"
"Jul 12, 2016","34.66","32.78","34.89","32.75","25.52M","11.23%"
"Jul 11, 2016","31.16","30.23","31.44","30.22","12.37M","3.73%"
"Jul 08, 2016","30.04","29.80","30.28","29.70","13.66M","2.18%"
"Jul 07, 2016","29.40","28.39","29.47","28.31","11.78M","3.70%"
"Jul 06, 2016","28.35","27.76","28.40","27.12","18.76M","-2.00%"
"Jul 05, 2016","28.93","29.09","29.16","28.19","9.47M","-1.36%"
"Jul 01, 2016","29.33","28.26","29.52","28.20","13.25M","3.60%"
"Jun 30, 2016","28.31","27.86","28.31","27.49","11.15M","2.20%"
"Jun 29, 2016","27.70","26.94","28.07","26.94","15.01M","3.47%"
"Jun 28, 2016","26.77","26.12","26.88","25.76","20.03M","5.94%"
"Jun 27, 2016","25.27","26.85","26.85","24.85","23.20M","-6.58%"
"Jun 24, 2016","27.05","28.20","28.50","27.04","36.05M","-10.81%"
"Jun 23, 2016","30.33","30.25","30.49","29.77","9.14M","1.47%"
"Jun 22, 2016","29.89","30.05","30.33","29.82","6.68M","-0.43%"
"Jun 21, 2016","30.02","30.29","30.39","29.69","8.92M","1.04%"
"Jun 20, 2016","29.71","29.75","30.39","29.64","8.36M","1.26%"
"Jun 17, 2016","29.34","29.10","29.55","28.85","15.30M","0.69%"
"Jun 16, 2016","29.14","29.80","29.80","29.02","18.24M","-4.43%"
"Jun 15, 2016","30.49","30.65","31.10","30.45","8.15M","0.43%"
"Jun 14, 2016","30.36","31.81","31.97","30.02","13.80M","-4.53%"
"Jun 13, 2016","31.80","32.99","32.99","31.64","9.23M","-4.04%"
"Jun 10, 2016","33.14","32.80","33.48","32.64","8.25M","-0.78%"
"Jun 09, 2016","33.40","32.25","33.58","32.25","8.19M","2.74%"
"Jun 08, 2016","32.51","32.63","32.97","32.22","8.17M","0.46%"
"Jun 07, 2016","32.36","31.46","32.87","31.10","12.42M","3.52%"
"Jun 06, 2016","31.26","30.77","31.30","30.38","8.34M","1.46%"
"Jun 03, 2016","30.81","31.59","31.60","30.37","12.42M","-2.72%"
"Jun 02, 2016","31.67","31.67","32.07","31.58","6.81M","-0.88%"
"Jun 01, 2016","31.95","31.94","32.26","31.73","6.42M","0.13%"
"May 31, 2016","31.91","31.75","31.97","31.33","9.62M","0.82%"
"May 27, 2016","31.65","31.60","31.84","31.41","8.57M","0.44%"
"May 26, 2016","31.51","32.13","32.34","31.37","7.22M","-2.05%"
"May 25, 2016","32.17","32.39","32.90","32.10","7.40M","0.06%"
"May 24, 2016","32.15","31.89","32.27","31.85","6.96M","1.32%"
"May 23, 2016","31.73","32.03","32.29","31.70","6.50M","-0.87%"
"May 20, 2016","32.01","32.30","32.81","31.95","7.28M","-0.44%"
"May 19, 2016","32.15","32.28","32.59","31.69","8.88M","-1.41%"
"May 18, 2016","32.61","32.61","33.36","32.34","9.14M","-0.09%"
"May 17, 2016","32.64","32.25","33.29","32.02","13.30M","1.62%"
"May 16, 2016","32.12","31.81","32.30","30.99","12.40M","1.94%"
"May 13, 2016","31.51","31.09","32.01","31.08","10.13M","0.57%"
"May 12, 2016","31.33","33.01","33.02","31.29","14.23M","-4.66%"
"May 11, 2016","32.86","33.68","34.04","32.85","8.15M","-2.69%"
"May 10, 2016","33.77","33.24","33.80","33.09","8.12M","2.52%"
"May 09, 2016","32.94","33.03","33.80","32.94","9.31M","-0.27%"
"May 06, 2016","33.03","32.67","33.15","32.19","12.75M","0.70%"
"May 05, 2016","32.80","33.28","33.52","32.73","11.61M","-1.23%"
"May 04, 2016","33.21","34.17","34.30","33.00","13.41M","-3.96%"
"May 03, 2016","34.58","34.76","34.77","33.85","10.67M","0.44%"
"May 02, 2016","34.43","34.99","35.16","34.40","8.83M","-0.75%"
"Apr 29, 2016","34.69","35.81","35.83","34.10","17.81M","-3.56%"
"Apr 28, 2016","35.97","37.04","37.09","35.89","9.84M","-2.02%"
"Apr 27, 2016","36.71","36.79","37.29","36.52","12.31M","-0.57%"
"Apr 26, 2016","36.92","37.27","37.49","36.26","14.69M","-0.22%"
"Apr 25, 2016","37.00","38.16","38.40","36.91","12.67M","-3.17%"
"Apr 22, 2016","38.21","37.68","38.49","37.01","20.94M","-4.50%"
"Apr 21, 2016","40.01","40.80","40.93","39.80","10.78M","-3.03%"
"Apr 20, 2016","41.26","41.36","41.71","41.11","5.02M","-0.19%"
"Apr 19, 2016","41.34","40.99","41.76","40.97","6.65M","1.03%"
"Apr 18, 2016","40.92","41.18","41.26","40.44","5.25M","0.02%"
"Apr 15, 2016","40.91","41.30","41.36","40.72","6.98M","-0.63%"
"Apr 14, 2016","41.17","40.34","41.66","40.25","10.13M","3.08%"
"Apr 13, 2016","39.94","39.30","40.01","38.89","12.49M","1.91%"
"Apr 12, 2016","39.19","38.82","39.43","38.76","6.43M","1.19%"
"Apr 11, 2016","38.73","38.79","39.55","38.67","7.93M","0.60%"
"Apr 08, 2016","38.50","38.70","38.72","38.12","6.09M","0.36%"
"Apr 07, 2016","38.36","38.66","39.05","37.91","8.21M","-1.39%"
"Apr 06, 2016","38.90","39.07","39.07","38.34","5.65M","-0.08%"
"Apr 05, 2016","38.93","39.13","39.38","38.74","7.65M","-1.12%"
"Apr 04, 2016","39.37","39.81","40.24","39.15","7.83M","-0.38%"
"Apr 01, 2016","39.52","40.13","40.16","39.27","11.24M","-3.63%"
"Mar 31, 2016","41.01","41.50","41.68","40.98","8.14M","-0.89%"
"Mar 30, 2016","41.38","41.75","42.07","41.36","6.08M","0.07%"
"Mar 29, 2016","41.35","40.90","41.43","40.77","6.79M","1.08%"
"Mar 28, 2016","40.91","41.00","41.34","40.33","6.40M","1.01%"
"Mar 24, 2016","40.50","41.88","41.95","40.19","12.52M","-3.39%"
"Mar 23, 2016","41.92","42.80","42.86","41.58","9.58M","-1.96%"
"Mar 22, 2016","42.76","42.00","43.02","41.84","6.72M","-1.63%"
"Mar 21, 2016","43.47","43.32","43.78","43.28","4.76M","0.07%"
"Mar 18, 2016","43.44","42.31","43.53","41.75","13.75M","3.18%"
"Mar 17, 2016","42.10","42.31","42.31","41.82","5.96M","-0.50%"
"Mar 16, 2016","42.31","41.81","42.43","41.59","4.79M","0.47%"
"Mar 15, 2016","42.11","42.30","42.49","41.98","4.45M","-1.13%"
"Mar 14, 2016","42.59","42.31","42.70","42.12","4.57M","0.28%"
"Mar 11, 2016","42.47","41.89","42.50","41.70","5.70M","2.02%"
"Mar 10, 2016","41.63","42.11","42.11","40.91","5.81M","-0.05%"
"Mar 09, 2016","41.65","40.74","41.72","40.52","8.55M","2.16%"
"Mar 08, 2016","40.77","41.30","41.41","40.05","8.42M","-3.23%"
"Mar 07, 2016","42.13","41.31","42.23","40.90","6.96M","1.20%"
"Mar 04, 2016","41.63","42.17","42.17","41.42","9.47M","-0.60%"
"Mar 03, 2016","41.88","41.52","42.24","41.23","8.81M","0.70%"
"Mar 02, 2016","41.59","41.47","41.80","41.29","7.91M","-0.57%"
