"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 29, 2016","51.14","50.58","51.67","50.41","5.86M","0.95%"
"Sep 28, 2016","50.66","50.67","51.89","50.42","3.76M","0.50%"
"Sep 27, 2016","50.41","49.50","50.79","49.40","3.75M","1.94%"
"Sep 26, 2016","49.45","50.53","50.89","49.28","4.69M","-2.94%"
"Sep 23, 2016","50.95","50.89","51.33","50.49","3.41M","-0.18%"
"Sep 22, 2016","51.04","50.68","52.03","50.37","5.48M","1.61%"
"Sep 21, 2016","50.23","50.47","50.75","49.30","4.56M","-0.16%"
"Sep 20, 2016","50.31","51.09","51.66","50.25","3.72M","-1.28%"
"Sep 19, 2016","50.96","51.14","51.93","50.91","3.67M","-0.08%"
"Sep 16, 2016","51.00","51.31","51.70","50.90","10.48M","-1.37%"
"Sep 15, 2016","51.71","50.99","51.95","50.37","4.73M","1.39%"
"Sep 14, 2016","51.00","51.40","51.89","50.72","4.55M","-1.24%"
"Sep 13, 2016","51.64","52.70","53.26","51.48","4.74M","-3.02%"
"Sep 12, 2016","53.25","51.69","53.44","50.67","5.22M","1.53%"
"Sep 09, 2016","52.45","53.99","54.11","52.42","4.99M","-3.51%"
"Sep 08, 2016","54.36","53.23","54.40","53.23","5.59M","1.27%"
"Sep 07, 2016","53.68","51.62","54.53","51.62","7.21M","4.97%"
"Sep 06, 2016","51.14","50.97","51.24","50.77","3.84M","0.10%"
"Sep 02, 2016","51.09","50.68","51.53","50.45","3.73M","0.39%"
"Sep 01, 2016","50.89","50.54","51.48","50.12","4.01M","0.95%"
"Aug 31, 2016","50.41","50.79","51.00","49.35","5.21M","-1.14%"
"Aug 30, 2016","50.99","49.28","51.52","48.76","12.92M","8.60%"
"Aug 29, 2016","46.95","47.06","47.32","46.81","2.40M","0.17%"
"Aug 26, 2016","46.87","47.62","47.87","46.67","3.35M","-1.39%"
"Aug 25, 2016","47.53","47.46","47.76","47.30","2.08M","-0.15%"
"Aug 24, 2016","47.60","47.29","47.94","47.27","2.20M","0.23%"
"Aug 23, 2016","47.49","47.27","47.96","47.27","2.27M","1.15%"
"Aug 22, 2016","46.95","46.95","47.09","46.56","2.61M","-0.30%"
"Aug 19, 2016","47.09","47.25","47.59","46.94","3.27M","-1.07%"
"Aug 18, 2016","47.60","48.16","48.22","47.18","4.92M","-1.20%"
"Aug 17, 2016","48.18","47.91","48.21","47.68","3.30M","0.40%"
"Aug 16, 2016","47.99","47.82","48.38","47.60","3.46M","-0.04%"
"Aug 15, 2016","48.01","47.16","48.48","47.00","3.03M","1.93%"
"Aug 12, 2016","47.10","47.20","47.34","46.53","2.17M","-0.36%"
"Aug 11, 2016","47.27","47.00","47.57","46.80","4.02M","0.32%"
"Aug 10, 2016","47.12","47.72","47.80","46.67","3.08M","-1.44%"
"Aug 09, 2016","47.81","49.00","49.47","47.78","3.89M","-1.40%"
"Aug 08, 2016","48.49","48.39","49.32","47.90","4.31M","0.17%"
"Aug 05, 2016","48.41","46.25","48.48","46.24","5.99M","5.47%"
"Aug 04, 2016","45.90","44.94","45.96","44.81","3.88M","2.23%"
"Aug 03, 2016","44.90","44.28","45.20","44.15","4.62M","1.13%"
"Aug 02, 2016","44.40","46.90","46.90","44.24","7.29M","-6.25%"
"Aug 01, 2016","47.36","46.77","47.38","46.42","2.93M","1.00%"
"Jul 29, 2016","46.89","47.49","48.11","46.89","3.45M","-1.08%"
"Jul 28, 2016","47.40","47.17","47.63","46.81","2.50M","-0.08%"
"Jul 27, 2016","47.44","47.63","47.75","47.16","3.21M","-0.61%"
"Jul 26, 2016","47.73","46.87","48.00","46.87","4.23M","1.79%"
"Jul 25, 2016","46.89","47.52","47.78","46.73","3.75M","-1.43%"
"Jul 22, 2016","47.57","47.25","47.69","46.55","4.90M","1.95%"
"Jul 21, 2016","46.66","47.11","47.40","46.02","5.88M","-3.40%"
"Jul 20, 2016","48.30","48.28","49.87","47.54","8.42M","0.94%"
"Jul 19, 2016","47.85","47.30","47.96","46.67","4.72M","0.29%"
"Jul 18, 2016","47.71","47.58","48.02","47.13","3.69M","0.59%"
"Jul 15, 2016","47.43","47.51","47.76","46.92","5.18M","-0.88%"
"Jul 14, 2016","47.85","46.73","47.94","46.42","7.70M","4.34%"
"Jul 13, 2016","45.86","46.55","46.73","45.41","5.49M","-0.65%"
"Jul 12, 2016","46.16","44.19","46.36","44.19","9.78M","8.84%"
"Jul 11, 2016","42.41","41.88","42.74","41.72","4.66M","2.24%"
"Jul 08, 2016","41.48","40.70","41.73","40.70","5.26M","3.47%"
"Jul 07, 2016","40.09","39.32","40.41","39.31","4.61M","1.98%"
"Jul 06, 2016","39.31","39.14","39.41","37.64","8.22M","-2.43%"
"Jul 05, 2016","40.29","40.80","40.92","39.41","5.21M","-2.61%"
"Jul 01, 2016","41.37","41.02","41.80","40.83","5.09M","0.80%"
"Jun 30, 2016","41.04","40.72","41.04","40.20","6.05M","1.16%"
"Jun 29, 2016","40.57","39.19","40.92","39.15","7.37M","4.16%"
"Jun 28, 2016","38.95","38.82","39.06","38.01","7.82M","3.18%"
"Jun 27, 2016","37.75","40.64","40.69","37.41","12.91M","-8.06%"
"Jun 24, 2016","41.06","42.67","43.22","41.04","12.31M","-9.10%"
"Jun 23, 2016","45.17","45.75","45.91","44.46","4.91M","0.18%"
"Jun 22, 2016","45.09","45.00","45.64","44.94","4.82M","0.51%"
"Jun 21, 2016","44.86","45.01","45.59","44.40","7.75M","3.36%"
"Jun 20, 2016","43.40","43.07","44.03","43.00","4.43M","1.83%"
"Jun 17, 2016","42.62","41.90","43.07","41.50","8.18M","1.89%"
"Jun 16, 2016","41.83","42.23","42.90","41.68","7.70M","-2.47%"
"Jun 15, 2016","42.89","42.55","43.72","42.51","6.33M","1.90%"
"Jun 14, 2016","42.09","43.98","44.30","41.46","8.16M","-4.47%"
"Jun 13, 2016","44.06","45.59","45.88","43.64","7.13M","-4.38%"
"Jun 10, 2016","46.08","46.09","46.69","45.63","4.21M","-1.33%"
"Jun 09, 2016","46.70","45.59","46.91","45.44","4.65M","2.21%"
"Jun 08, 2016","45.69","45.94","46.53","45.29","4.88M","-0.26%"
"Jun 07, 2016","45.81","44.50","46.46","44.01","5.86M","2.87%"
"Jun 06, 2016","44.53","44.20","44.54","43.53","5.25M","0.52%"
"Jun 03, 2016","44.30","45.01","45.16","43.60","5.64M","-1.93%"
"Jun 02, 2016","45.17","44.92","45.59","44.86","3.36M","-0.18%"
"Jun 01, 2016","45.25","45.25","45.46","44.70","3.98M","0.35%"
"May 31, 2016","45.09","45.13","45.30","44.30","6.08M","-0.20%"
"May 27, 2016","45.18","44.56","45.46","44.53","3.62M","1.53%"
"May 26, 2016","44.50","45.20","45.33","44.14","4.89M","-1.40%"
"May 25, 2016","45.13","45.12","45.94","45.07","3.65M","0.31%"
"May 24, 2016","44.99","44.46","45.08","44.39","3.70M","1.79%"
"May 23, 2016","44.20","44.54","45.00","44.15","3.75M","-0.65%"
"May 20, 2016","44.49","44.39","45.29","44.22","3.28M","1.09%"
"May 19, 2016","44.01","44.73","45.29","43.65","5.58M","-2.78%"
"May 18, 2016","45.27","44.91","46.28","44.83","4.48M","0.49%"
"May 17, 2016","45.05","44.35","46.08","44.32","5.92M","1.03%"
"May 16, 2016","44.59","44.32","44.87","43.51","6.08M","1.71%"
"May 13, 2016","43.84","43.70","44.94","43.62","5.77M","0.14%"
"May 12, 2016","43.78","46.03","46.03","43.33","7.91M","-4.41%"
"May 11, 2016","45.80","46.73","47.40","45.79","5.07M","-2.55%"
"May 10, 2016","47.00","46.07","47.12","45.79","4.80M","2.82%"
"May 09, 2016","45.71","45.88","46.81","45.68","4.62M","0.02%"
"May 06, 2016","45.70","44.80","45.73","44.01","9.25M","1.58%"
"May 05, 2016","44.99","45.60","46.07","44.96","6.04M","-1.23%"
"May 04, 2016","45.55","46.71","46.76","45.15","7.18M","-3.35%"
"May 03, 2016","47.13","47.00","47.54","46.15","6.73M","1.01%"
"May 02, 2016","46.66","46.61","46.81","45.81","6.63M","1.86%"
"Apr 29, 2016","45.81","47.89","47.93","45.58","10.25M","-4.68%"
"Apr 28, 2016","48.06","48.84","49.21","47.90","5.66M","-1.80%"
"Apr 27, 2016","48.94","49.05","49.70","48.70","5.21M","-0.41%"
"Apr 26, 2016","49.14","49.75","50.06","48.05","7.55M","-0.47%"
"Apr 25, 2016","49.37","51.06","51.45","49.30","6.86M","-2.70%"
"Apr 22, 2016","50.74","51.20","51.59","50.20","11.34M","-3.83%"
"Apr 21, 2016","52.76","55.32","56.00","51.33","25.28M","-9.97%"
"Apr 20, 2016","58.60","57.96","58.90","57.96","4.12M","0.95%"
"Apr 19, 2016","58.05","57.12","58.33","57.12","3.55M","1.88%"
"Apr 18, 2016","56.98","57.78","57.78","56.35","2.41M","0.14%"
"Apr 15, 2016","56.90","56.97","57.11","56.08","2.85M","0.30%"
"Apr 14, 2016","56.73","55.86","57.84","55.80","3.80M","2.07%"
"Apr 13, 2016","55.58","54.48","55.68","54.34","3.79M","2.79%"
"Apr 12, 2016","54.07","53.89","54.78","53.83","3.39M","0.67%"
"Apr 11, 2016","53.71","53.38","55.20","53.28","4.58M","1.19%"
"Apr 08, 2016","53.08","53.65","53.81","52.95","3.55M","-0.15%"
"Apr 07, 2016","53.16","54.55","54.66","52.93","6.75M","-3.59%"
"Apr 06, 2016","55.14","55.60","55.65","54.59","3.22M","-0.79%"
"Apr 05, 2016","55.58","55.49","55.85","55.10","2.73M","-0.48%"
"Apr 04, 2016","55.85","56.59","57.60","55.70","4.62M","-1.53%"
"Apr 01, 2016","56.72","57.43","57.67","56.19","7.41M","-5.25%"
"Mar 31, 2016","59.86","59.92","61.39","59.82","5.74M","0.07%"
"Mar 30, 2016","59.82","58.99","60.39","58.89","3.40M","1.98%"
"Mar 29, 2016","58.66","57.78","58.75","57.59","4.04M","1.30%"
"Mar 28, 2016","57.91","57.95","58.18","57.41","3.40M","0.12%"
"Mar 24, 2016","57.84","58.76","58.96","57.20","6.62M","-3.18%"
"Mar 23, 2016","59.74","60.43","60.61","59.29","4.02M","-1.24%"
"Mar 22, 2016","60.49","59.51","60.96","59.41","4.47M","-1.14%"
"Mar 21, 2016","61.19","60.38","61.41","60.35","3.63M","1.29%"
"Mar 18, 2016","60.41","58.90","60.67","58.86","7.38M","2.67%"
"Mar 17, 2016","58.84","58.71","59.16","58.21","3.28M","0.12%"
"Mar 16, 2016","58.77","57.66","59.03","57.42","3.67M","1.24%"
"Mar 15, 2016","58.05","58.57","59.30","57.94","4.73M","-1.58%"
"Mar 14, 2016","58.98","58.00","59.09","57.84","3.94M","1.05%"
"Mar 11, 2016","58.37","57.96","58.41","57.72","3.12M","1.94%"
"Mar 10, 2016","57.26","57.60","57.87","56.65","3.51M","-0.31%"
"Mar 09, 2016","57.44","56.74","57.59","56.47","4.76M","1.95%"
"Mar 08, 2016","56.34","56.36","57.45","55.29","7.85M","-2.20%"
"Mar 07, 2016","57.61","57.55","58.09","56.84","4.92M","-0.67%"
"Mar 04, 2016","58.00","58.65","58.95","57.66","5.77M","-0.58%"
"Mar 03, 2016","58.34","57.93","58.80","57.80","5.19M","0.73%"
"Mar 02, 2016","57.92","57.90","58.48","57.27","4.85M","-0.82%"
"Mar 01, 2016","58.40","57.63","58.84","57.26","5.22M","1.99%"
"Feb 29, 2016","57.26","56.38","57.80","56.01","5.61M","1.20%"
"Feb 26, 2016","56.58","56.89","57.17","56.12","4.50M","-0.49%"
"Feb 25, 2016","56.86","56.44","56.91","55.73","4.66M","1.07%"
"Feb 24, 2016","56.26","54.82","56.30","54.67","5.59M","1.46%"
"Feb 23, 2016","55.45","55.09","55.89","54.62","4.32M","-0.07%"
"Feb 22, 2016","55.49","54.13","55.84","53.96","6.67M","3.10%"
"Feb 19, 2016","53.82","51.79","55.06","51.13","9.73M","3.62%"
"Feb 18, 2016","51.94","51.07","52.20","50.72","5.58M","2.63%"
"Feb 17, 2016","50.61","49.42","50.93","49.29","4.21M","3.56%"
"Feb 16, 2016","48.87","48.72","49.24","47.80","4.59M","1.08%"
"Feb 12, 2016","48.35","47.29","48.42","46.58","4.10M","2.92%"
"Feb 11, 2016","46.98","46.54","47.85","46.48","4.93M","-1.53%"
"Feb 10, 2016","47.71","47.41","48.80","47.07","7.83M","2.65%"
"Feb 09, 2016","46.48","44.97","47.03","44.00","9.30M","1.75%"
"Feb 08, 2016","45.68","45.90","46.42","45.16","7.69M","-2.52%"
"Feb 05, 2016","46.86","48.41","49.16","46.48","5.16M","-3.20%"
"Feb 04, 2016","48.41","47.18","48.62","47.07","5.71M","1.77%"
"Feb 03, 2016","47.57","46.63","48.30","45.05","6.49M","2.41%"
"Feb 02, 2016","46.45","48.27","48.48","46.05","7.11M","-4.93%"
"Feb 01, 2016","48.86","47.71","49.20","47.52","6.72M","1.20%"
"Jan 29, 2016","48.28","45.31","48.54","45.27","9.06M","4.71%"
"Jan 28, 2016","46.11","47.97","48.14","45.77","7.77M","-3.35%"
"Jan 27, 2016","47.71","47.70","49.41","47.37","8.13M","1.02%"
"Jan 26, 2016","47.23","46.83","47.27","46.31","5.60M","1.70%"
"Jan 25, 2016","46.44","46.91","47.26","46.34","5.58M","-0.60%"
"Jan 22, 2016","46.72","45.93","47.73","45.93","8.29M","3.07%"
"Jan 21, 2016","45.33","45.11","46.66","44.25","10.29M","0.47%"
"Jan 20, 2016","45.12","44.77","46.20","42.17","11.77M","-0.13%"
"Jan 19, 2016","45.18","46.51","46.97","44.64","8.60M","-1.07%"
"Jan 15, 2016","45.67","46.42","46.89","44.93","10.92M","-4.52%"
"Jan 14, 2016","47.83","48.34","48.59","45.89","9.80M","-0.48%"
"Jan 13, 2016","48.06","51.16","51.28","47.76","8.04M","-5.51%"
"Jan 12, 2016","50.86","51.66","51.70","49.71","10.05M","-1.47%"
"Jan 11, 2016","51.62","52.20","52.55","50.35","8.45M","-0.52%"
"Jan 08, 2016","51.89","53.62","53.86","51.76","6.37M","-1.41%"
"Jan 07, 2016","52.63","54.40","54.81","52.34","6.10M","-4.66%"
"Jan 06, 2016","55.20","54.24","55.47","54.04","4.90M","0.25%"
"Jan 05, 2016","55.06","55.90","56.33","54.00","6.98M","-0.99%"
"Jan 04, 2016","55.61","55.79","56.34","54.86","5.69M","-2.95%"
"Dec 31, 2015","57.30","57.23","57.50","56.72","3.52M","-0.37%"
"Dec 30, 2015","57.51","59.28","59.30","57.45","3.18M","-3.02%"
"Dec 29, 2015","59.30","59.17","59.74","58.74","2.32M","0.49%"
"Dec 28, 2015","59.01","59.79","60.20","58.67","2.52M","-1.29%"
"Dec 24, 2015","59.78","58.35","60.44","58.35","3.02M","2.45%"
"Dec 23, 2015","58.35","58.02","58.57","57.11","3.38M","0.60%"
"Dec 22, 2015","58.00","58.28","58.36","56.65","3.92M","-0.09%"
"Dec 21, 2015","58.05","57.42","58.32","57.27","3.30M","1.99%"
"Dec 18, 2015","56.92","57.32","58.22","56.72","5.02M","-0.70%"
"Dec 17, 2015","57.32","58.86","59.65","57.30","4.00M","-2.63%"
"Dec 16, 2015","58.87","58.26","59.15","57.06","4.19M","1.68%"
"Dec 15, 2015","57.90","57.83","58.48","57.51","3.68M","1.05%"
"Dec 14, 2015","57.30","57.37","57.74","55.33","5.69M","0.47%"
"Dec 11, 2015","57.03","58.18","58.76","56.91","5.04M","-4.20%"
"Dec 10, 2015","59.53","58.10","60.18","57.61","5.10M","2.89%"
"Dec 09, 2015","57.86","58.70","59.88","57.15","5.14M","-1.35%"
"Dec 08, 2015","58.65","59.67","60.51","58.05","4.67M","-3.09%"
"Dec 07, 2015","60.52","59.95","61.49","59.74","6.91M","2.68%"
"Dec 04, 2015","58.94","57.56","59.09","57.52","5.13M","3.88%"
"Dec 03, 2015","56.74","57.91","58.23","56.56","4.11M","-2.02%"
"Dec 02, 2015","57.91","58.00","59.34","57.62","5.39M","1.61%"
"Dec 01, 2015","56.99","55.68","57.11","55.53","3.97M","2.26%"
"Nov 30, 2015","55.73","56.82","57.20","55.58","5.12M","-1.92%"
"Nov 27, 2015","56.82","56.40","57.46","56.26","1.64M","1.07%"
"Nov 25, 2015","56.22","57.08","57.21","55.93","4.62M","-1.02%"
"Nov 24, 2015","56.80","57.09","57.24","56.07","7.26M","-3.01%"
"Nov 23, 2015","58.56","58.85","59.23","58.34","2.61M","-0.43%"
"Nov 20, 2015","58.81","58.49","59.29","58.36","3.56M","0.53%"
"Nov 19, 2015","58.50","58.09","59.30","57.80","3.48M","1.37%"
"Nov 18, 2015","57.71","57.49","58.26","56.51","4.66M","0.58%"
"Nov 17, 2015","57.38","58.30","59.29","57.02","4.41M","-1.21%"
"Nov 16, 2015","58.08","57.37","58.21","57.06","6.17M","-1.22%"
"Nov 13, 2015","58.80","59.10","59.57","58.44","3.09M","-0.76%"
"Nov 12, 2015","59.25","59.00","60.11","59.00","2.71M","-0.65%"
"Nov 11, 2015","59.64","60.26","60.44","59.58","2.26M","-0.70%"
"Nov 10, 2015","60.06","60.18","60.85","59.03","2.66M","-0.15%"
"Nov 09, 2015","60.15","61.16","61.42","59.67","3.47M","-2.18%"
"Nov 06, 2015","61.49","60.18","61.75","60.02","6.54M","1.97%"
"Nov 05, 2015","60.30","60.51","60.98","60.19","4.62M","0.02%"
"Nov 04, 2015","60.29","60.54","60.93","59.69","6.04M","-0.90%"
"Nov 03, 2015","60.84","61.00","61.34","60.01","4.88M","0.40%"
"Nov 02, 2015","60.60","60.61","61.29","60.44","4.01M","0.48%"
"Oct 30, 2015","60.31","60.07","61.87","59.97","5.52M","0.10%"
"Oct 29, 2015","60.25","59.13","60.72","58.60","4.30M","1.18%"
"Oct 28, 2015","59.55","60.85","60.97","58.70","5.82M","-2.28%"
"Oct 27, 2015","60.94","60.72","61.80","60.47","5.98M","-0.13%"
"Oct 26, 2015","61.02","59.42","61.20","59.15","6.02M","2.25%"
"Oct 23, 2015","59.68","57.19","59.80","57.18","12.31M","6.48%"
"Oct 22, 2015","56.05","55.09","56.44","54.14","7.56M","2.75%"
"Oct 21, 2015","54.55","55.65","55.85","54.20","7.46M","-2.15%"
"Oct 20, 2015","55.75","56.85","57.07","55.45","7.31M","-1.76%"
"Oct 19, 2015","56.75","55.90","57.01","55.84","6.59M","1.39%"
"Oct 16, 2015","55.97","57.89","57.98","55.05","14.59M","-3.10%"
"Oct 15, 2015","57.76","57.79","58.08","56.72","4.19M","0.43%"
"Oct 14, 2015","57.51","57.87","58.75","56.40","5.91M","0.37%"
"Oct 13, 2015","57.30","57.12","57.76","56.43","6.22M","-0.87%"
"Oct 12, 2015","57.80","56.10","58.04","55.90","6.11M","3.75%"
"Oct 09, 2015","55.71","53.92","56.10","53.42","11.38M","6.60%"
"Oct 08, 2015","52.26","51.25","52.43","50.50","5.01M","1.32%"
"Oct 07, 2015","51.58","51.04","51.65","49.76","7.08M","1.58%"
"Oct 06, 2015","50.78","53.24","53.55","50.52","7.74M","-4.78%"
"Oct 05, 2015","53.33","52.03","53.63","51.65","5.85M","3.03%"
"Oct 02, 2015","51.76","52.34","52.38","50.95","6.75M","-2.34%"
"Oct 01, 2015","53.00","52.95","53.17","52.00","5.99M","-0.09%"
"Sep 30, 2015","53.05","52.88","53.48","52.24","6.35M","1.12%"
"Sep 29, 2015","52.46","53.83","54.02","52.11","6.29M","-2.35%"
"Sep 28, 2015","53.72","55.21","55.24","53.04","5.56M","-3.07%"
"Sep 25, 2015","55.42","56.99","56.99","54.95","6.32M","-1.62%"
"Sep 24, 2015","56.33","57.58","57.66","55.77","5.75M","-3.16%"
"Sep 23, 2015","58.17","58.52","58.89","57.29","4.22M","-0.12%"
"Sep 22, 2015","58.24","59.95","60.22","58.01","5.48M","-3.66%"
"Sep 21, 2015","60.45","60.36","61.24","59.59","5.42M","0.23%"
"Sep 18, 2015","60.31","60.84","61.35","60.03","7.13M","-2.03%"
"Sep 17, 2015","61.56","58.19","62.21","58.08","16.41M","6.23%"
"Sep 16, 2015","57.95","57.03","57.99","56.76","5.15M","1.17%"
"Sep 15, 2015","57.28","57.49","57.70","56.85","5.31M","-0.30%"
"Sep 14, 2015","57.45","56.89","57.46","56.42","4.65M","1.09%"
"Sep 11, 2015","56.83","56.77","57.47","56.34","4.03M","-0.12%"
"Sep 10, 2015","56.90","57.96","58.36","56.60","6.50M","-1.34%"
"Sep 09, 2015","57.67","57.00","58.93","56.87","9.04M","0.28%"
"Sep 08, 2015","57.51","57.74","58.01","56.91","7.12M","1.45%"
"Sep 04, 2015","56.69","56.80","57.70","56.31","6.10M","-0.98%"
"Sep 03, 2015","57.25","57.53","58.14","57.05","9.95M","-0.07%"
"Sep 02, 2015","57.29","57.89","58.09","56.72","67.83M","0.28%"
"Sep 01, 2015","57.13","56.01","57.38","55.80","12.67M","0.28%"
"Aug 31, 2015","56.97","57.18","58.04","56.88","10.56M","-0.26%"
"Aug 28, 2015","57.12","56.52","57.35","55.78","19.99M","7.05%"
"Aug 27, 2015","53.36","54.38","54.73","52.33","5.77M","-1.09%"
"Aug 26, 2015","53.95","53.37","54.22","51.62","4.99M","3.55%"
"Aug 25, 2015","52.10","54.37","54.94","52.10","4.60M","-0.44%"
"Aug 24, 2015","52.33","50.76","54.98","49.20","7.09M","-5.01%"
"Aug 21, 2015","55.09","55.92","56.67","54.96","6.68M","-2.65%"
"Aug 20, 2015","56.59","57.59","57.66","56.52","4.16M","-2.82%"
"Aug 19, 2015","58.23","58.26","59.03","57.87","3.83M","-0.48%"
"Aug 18, 2015","58.51","59.45","60.12","58.11","3.83M","-1.83%"
"Aug 17, 2015","59.60","58.49","59.93","58.00","3.89M","1.83%"
"Aug 14, 2015","58.53","57.97","58.86","57.85","2.39M","0.31%"
"Aug 13, 2015","58.35","57.65","58.59","57.18","3.34M","1.64%"
"Aug 12, 2015","57.41","57.60","57.74","55.07","4.83M","-0.79%"
"Aug 11, 2015","57.87","57.22","59.14","57.22","4.42M","1.26%"
"Aug 10, 2015","57.15","57.42","58.01","56.90","3.07M","0.72%"
"Aug 07, 2015","56.74","57.25","57.63","56.61","3.49M","-1.34%"
"Aug 06, 2015","57.51","58.41","58.96","56.95","3.75M","-1.03%"
"Aug 05, 2015","58.11","59.41","59.50","58.05","4.58M","-1.42%"
"Aug 04, 2015","58.95","59.19","59.85","58.21","4.80M","1.08%"
"Aug 03, 2015","58.32","56.86","58.89","56.69","5.27M","3.42%"
"Jul 31, 2015","56.39","56.66","56.90","56.36","3.48M","-0.79%"
"Jul 30, 2015","56.84","57.09","57.31","56.55","3.15M","-0.65%"
"Jul 29, 2015","57.21","58.10","58.42","56.80","4.77M","-2.07%"
"Jul 28, 2015","58.42","57.08","58.91","56.75","6.21M","2.83%"
"Jul 27, 2015","56.81","56.05","57.24","55.25","5.81M","0.57%"
